timestamp,x,y,qx,qy,qz,qw
1739223094.2673306,4.048733404206618,-0.03128653326853886,0.0,0.0,-0.31002346130930253,0.9507289063859368
1739223094.8663306,4.103557171254693,-0.11282589972822812,0.0,0.0,-0.5611137160370853,0.8277387254895431
1739223096.0673306,4.192925039450125,-0.6751929082016951,0.0,0.0,-0.6698846692938206,0.7424651707959833
1739223097.0683305,4.210623117739918,-1.1750305905692637,0.0,0.0,-0.7188318673490276,0.6951839659280915
1739223098.0683305,4.1979505984723176,-1.6848266655335393,0.0,0.0,-0.7015272190269625,0.7126426600788759
1739223099.2683306,4.233046274771711,-2.2732433108340744,0.0,0.0,-0.6830379114110235,0.730382921196318
1739223100.4693305,4.33733113906739,-2.8683343655307594,0.0,0.0,-0.6304820589253622,0.7762038220552873
1739223101.6703305,4.491373571026649,-3.4368985375824566,0.0,0.0,-0.5973571025483899,0.8019753687208806
1739223102.8703306,4.584205529363708,-4.016430543984575,0.0,0.0,-0.7125573827668856,0.7016138369961115
1739223103.8713305,4.560435906087464,-4.5161396165718015,0.0,0.0,-0.7171809089659097,0.6968870380591331
1739223105.0703306,4.565546528424158,-5.115676300814949,0.0,0.0,-0.6996939546986115,0.7144426987227299
1739223106.2723305,4.566603535276997,-5.726537290596598,0.0,0.0,-0.711269975962335,0.702918929389826
1739223107.4723306,4.564921257397528,-6.326533655355406,0.0,0.0,-0.7051307466270226,0.7090773090158913
1739223108.6723306,4.566693842223083,-6.926447923380268,0.0,0.0,-0.7063083706498385,0.7079042912357364
1739223109.6733305,4.576924733099709,-7.426755022873009,0.0,0.0,-0.7082708269442316,0.7059408160035332
1739223110.6743305,4.56076612343433,-7.926966738084761,0.0,0.0,-0.7178443185805787,0.6962036586241016
1739223111.6753306,4.555633789406297,-8.417358442848299,0.0,0.0,-0.6977019175458763,0.7163881868462149
1739223112.8763306,4.569306671356239,-9.01745628082619,0.0,0.0,-0.7070847376498592,0.7071288240360661
1739223113.8773305,4.565656738019858,-9.517762823586503,0.0,0.0,-0.7090068372320059,0.7052016057541758
1739223115.0773306,4.566028071278327,-10.117646679931704,0.0,0.0,-0.7061792765327192,0.7080330708347777
1739223116.0783305,4.566420389523343,-10.618043685089049,0.0,0.0,-0.7072760354963974,0.7069374863539907
1739223117.2773306,4.564085090735818,-11.215341280303518,0.0,0.0,-0.7106678371106913,0.7035277004471195
1739223118.4783306,4.571082356938145,-11.805771022720501,0.0,0.0,-0.6999563286589137,0.7141856467126281
1739223119.6783304,4.580002403030795,-12.415581175713857,0.0,0.0,-0.7040534811438165,0.7101469535872654
1739223120.8783305,4.5921633888738285,-13.01533132944708,0.0,0.0,-0.695328391657457,0.7186921648070571
1739223122.0773306,4.618097253165416,-13.614036327292743,0.0,0.0,-0.6909906348938686,0.7228637094839998
1739223123.2783306,4.686533425532347,-14.207532688166483,0.0,0.0,-0.6337125760403903,0.7735685948694224
1739223124.2793305,4.784343906007283,-14.699239940933435,0.0,0.0,-0.6253906585720621,0.780311812143583
1739223125.4783306,4.948217683354286,-15.273158294435385,0.0,0.0,-0.589065785694842,0.8080850822306512
1739223126.6793306,5.148973851124978,-15.836642854593848,0.0,0.0,-0.565139352279984,0.8249954621114955
1739223127.8793306,5.387135657095504,-16.385536844307598,0.0,0.0,-0.5251658833699806,0.8509998795206895
1739223128.8833306,5.471722320774643,-16.647200944730336,0.0,0.0,-0.7251704178214419,0.6885694337658879
1739223129.6803305,5.349144561010462,-16.981639840399488,0.0,0.0,0.8744989353951856,-0.48502743426809075
1739223130.8803306,5.015057324777457,-17.462795031138125,0.0,0.0,0.8711669165641618,-0.4909869687518101
1739223131.8803306,4.767559807947434,-17.905115616754816,0.0,0.0,-0.8634618063464319,0.5044142236108707
1739223133.0803306,4.47344203085311,-18.423534318712957,0.0,0.0,0.8765904491880655,-0.4812371394564904
1739223134.2593305,4.173144983766591,-18.920508335597404,0.0,0.0,0.8667113516752967,-0.4988100168172049
1739223135.4593306,3.8551531766980522,-19.378836937545394,0.0,0.0,0.910505969017745,-0.413495925473344
