elapsed time,timestamp,topic,value
25.896,1739217394.663000000,/pose.pose.pose.position.y,2.364805831131966e-7
36.27,1739217405.037000000,/pose.pose.pose.position.y,-0.03293994163798395
38.267,1739217407.034000000,/pose.pose.pose.position.y,-0.132068227269527
43.546,1739217412.313000000,/pose.pose.pose.position.y,-0.6370725537734176
46.645,1739217415.412000000,/pose.pose.pose.position.y,-1.1554671471686073
50.376,1739217419.143000000,/pose.pose.pose.position.y,-1.7440457927064832
55.705,1739217424.472000000,/pose.pose.pose.position.y,-2.072354631837871
57.206,1739217425.973000000,/pose.pose.pose.position.y,-2.097235443032635
60.594,1739217429.361000000,/pose.pose.pose.position.y,-2.0967112159598504
62.704,1739217431.471000000,/pose.pose.pose.position.y,-2.10662845558282
71.299,1739217440.066000000,/pose.pose.pose.position.y,-2.2487673250636973
73.627,1739217442.394000000,/pose.pose.pose.position.y,-2.2427547935920282
75.814,1739217444.581000000,/pose.pose.pose.position.y,-2.2301228206105854
123.497,1739217492.264000000,/pose.pose.pose.position.y,-2.709133827837193
126.989,1739217495.756000000,/pose.pose.pose.position.y,-2.963277678569033
130.353,1739217499.120000000,/pose.pose.pose.position.y,-3.412631696031981
133.179,1739217501.946000000,/pose.pose.pose.position.y,-3.6534239958306283
136.675,1739217505.442000000,/pose.pose.pose.position.y,-3.920716189038437
140.16,1739217508.927000000,/pose.pose.pose.position.y,-4.344330156725941
143.562,1739217512.329000000,/pose.pose.pose.position.y,-4.73510729966597
147.277,1739217516.044000000,/pose.pose.pose.position.y,-5.011767588770194
150.732,1739217519.499000000,/pose.pose.pose.position.y,-5.4511193579453945
154.063,1739217522.830000000,/pose.pose.pose.position.y,-5.93205348589504
157.03,1739217525.797000000,/pose.pose.pose.position.y,-6.32691064590887
178.028,1739217546.795000000,/pose.pose.pose.position.y,-6.5096021883642505
183.386,1739217552.153000000,/pose.pose.pose.position.y,-6.574479857544689
186.865,1739217555.632000000,/pose.pose.pose.position.y,-7.039411029945435
190.584,1739217559.351000000,/pose.pose.pose.position.y,-7.587746457263324
194.323,1739217563.090000000,/pose.pose.pose.position.y,-8.120260115085404
197.903,1739217566.670000000,/pose.pose.pose.position.y,-8.619546096803772
201.517,1739217570.284000000,/pose.pose.pose.position.y,-9.051179107138953
205.184,1739217573.951000000,/pose.pose.pose.position.y,-9.505597954226863
208.88,1739217577.647000000,/pose.pose.pose.position.y,-10.035260068936799
212.29,1739217581.057000000,/pose.pose.pose.position.y,-10.621112588120802
220.26,1739217589.027000000,/pose.pose.pose.position.y,-11.107629503150804
221.535,1739217590.302000000,/pose.pose.pose.position.y,-11.203897779716979
226.533,1739217595.300000000,/pose.pose.pose.position.y,-11.340479694352236
230.246,1739217599.013000000,/pose.pose.pose.position.y,-11.738835174880082
233.705,1739217602.472000000,/pose.pose.pose.position.y,-12.106239051366755
237.325,1739217606.092000000,/pose.pose.pose.position.y,-12.445441991866694
240.944,1739217609.711000000,/pose.pose.pose.position.y,-12.811654159694156
244.523,1739217613.290000000,/pose.pose.pose.position.y,-13.19179608017458
248.011,1739217616.778000000,/pose.pose.pose.position.y,-13.604682785032058
251.68,1739217620.447000000,/pose.pose.pose.position.y,-13.957141277875705
256.146,1739217624.913000000,/pose.pose.pose.position.y,-14.353119663542278
27.178,1739217395.945000000,/waffle/pose.pose.position.y,-0.000009993199739932714
29.752,1739217398.519000000,/waffle/pose.pose.position.y,-0.000004794053373145709
32.336,1739217401.103000000,/waffle/pose.pose.position.y,-0.000009898522252166591
35.517,1739217404.284000000,/waffle/pose.pose.position.y,-0.004277989576046921
38.66,1739217407.427000000,/waffle/pose.pose.position.y,-0.13343541914250012
41.653,1739217410.420000000,/waffle/pose.pose.position.y,-0.3795292432238572
44.702,1739217413.469000000,/waffle/pose.pose.position.y,-0.8734430543748588
47.793,1739217416.560000000,/waffle/pose.pose.position.y,-1.3735016109894818
50.883,1739217419.650000000,/waffle/pose.pose.position.y,-1.8712296748276178
53.871,1739217422.638000000,/waffle/pose.pose.position.y,-2.115561977073733
56.626,1739217425.393000000,/waffle/pose.pose.position.y,-2.1077025949570394
59.341,1739217428.108000000,/waffle/pose.pose.position.y,-2.1067280538522
62.182,1739217430.949000000,/waffle/pose.pose.position.y,-2.106289622333603
64.971,1739217433.738000000,/waffle/pose.pose.position.y,-2.121007111944482
68.08,1739217436.847000000,/waffle/pose.pose.position.y,-2.2319758128397726
71.099,1739217439.866000000,/waffle/pose.pose.position.y,-2.2788472280926975
74.1,1739217442.867000000,/waffle/pose.pose.position.y,-2.28163251538693
76.733,1739217445.500000000,/waffle/pose.pose.position.y,-2.277586651656243
79.448,1739217448.215000000,/waffle/pose.pose.position.y,-2.2752489614057048
82.157,1739217450.924000000,/waffle/pose.pose.position.y,-2.274991301965054
84.844,1739217453.611000000,/waffle/pose.pose.position.y,-2.263282630768038
87.712,1739217456.479000000,/waffle/pose.pose.position.y,-2.2220178207540107
90.322,1739217459.089000000,/waffle/pose.pose.position.y,-2.174994779307819
93.061,1739217461.828000000,/waffle/pose.pose.position.y,-2.1456604324665594
95.787,1739217464.554000000,/waffle/pose.pose.position.y,-2.137756333428691
98.431,1739217467.198000000,/waffle/pose.pose.position.y,-2.130831660487788
100.97,1739217469.737000000,/waffle/pose.pose.position.y,-2.127736258622604
103.643,1739217472.410000000,/waffle/pose.pose.position.y,-2.124047623869201
106.28,1739217475.047000000,/waffle/pose.pose.position.y,-2.1223814581218505
108.933,1739217477.700000000,/waffle/pose.pose.position.y,-2.1164349900902275
111.466,1739217480.233000000,/waffle/pose.pose.position.y,-2.114387036804614
114.059,1739217482.826000000,/waffle/pose.pose.position.y,-2.1118916827191168
116.922,1739217485.689000000,/waffle/pose.pose.position.y,-2.190978100289923
119.776,1739217488.543000000,/waffle/pose.pose.position.y,-2.446573056682138
122.707,1739217491.474000000,/waffle/pose.pose.position.y,-2.667514511778545
125.691,1739217494.458000000,/waffle/pose.pose.position.y,-2.866624180589662
128.484,1739217497.251000000,/waffle/pose.pose.position.y,-3.1956196066490024
131.369,1739217500.136000000,/waffle/pose.pose.position.y,-3.5358103295871097
134.22,1739217502.987000000,/waffle/pose.pose.position.y,-3.750967751567656
137.129,1739217505.896000000,/waffle/pose.pose.position.y,-3.9687491870022535
139.955,1739217508.722000000,/waffle/pose.pose.position.y,-4.324025334092139
142.876,1739217511.643000000,/waffle/pose.pose.position.y,-4.651901148892089
145.965,1739217514.732000000,/waffle/pose.pose.position.y,-4.880506945505638
148.77,1739217517.537000000,/waffle/pose.pose.position.y,-5.198350915585801
151.743,1739217520.510000000,/waffle/pose.pose.position.y,-5.595719335585302
154.521,1739217523.288000000,/waffle/pose.pose.position.y,-5.983817597217473
157.469,1739217526.236000000,/waffle/pose.pose.position.y,-6.378322938043151
160.296,1739217529.063000000,/waffle/pose.pose.position.y,-6.510844079125786
162.798,1739217531.565000000,/waffle/pose.pose.position.y,-6.5383473211051495
165.456,1739217534.223000000,/waffle/pose.pose.position.y,-6.543110676120385
168.012,1739217536.779000000,/waffle/pose.pose.position.y,-6.527114186424119
170.524,1739217539.291000000,/waffle/pose.pose.position.y,-6.511209918699049
173.012,1739217541.779000000,/waffle/pose.pose.position.y,-6.497198169069346
175.461,1739217544.228000000,/waffle/pose.pose.position.y,-6.486629773879493
177.888,1739217546.655000000,/waffle/pose.pose.position.y,-6.484943937916987
180.46,1739217549.227000000,/waffle/pose.pose.position.y,-6.4847579848283585
183.224,1739217551.991000000,/waffle/pose.pose.position.y,-6.558050721736135
186.261,1739217555.028000000,/waffle/pose.pose.position.y,-6.919488147133632
189.019,1739217557.786000000,/waffle/pose.pose.position.y,-7.369615645343348
192.4,1739217561.167000000,/waffle/pose.pose.position.y,-7.812810899632672
195.506,1739217564.273000000,/waffle/pose.pose.position.y,-8.24698458277639
198.465,1739217567.232000000,/waffle/pose.pose.position.y,-8.64456869086923
201.384,1739217570.151000000,/waffle/pose.pose.position.y,-9.008561938182995
204.322,1739217573.089000000,/waffle/pose.pose.position.y,-9.383629467497913
207.526,1739217576.293000000,/waffle/pose.pose.position.y,-9.804874391236083
210.469,1739217579.236000000,/waffle/pose.pose.position.y,-10.273958476305303
213.39,1739217582.157000000,/waffle/pose.pose.position.y,-10.730050819760715
216.571,1739217585.338000000,/waffle/pose.pose.position.y,-11.01850737944877
219.562,1739217588.329000000,/waffle/pose.pose.position.y,-11.035936640769151
222.794,1739217591.561000000,/waffle/pose.pose.position.y,-11.194023094103882
225.903,1739217594.670000000,/waffle/pose.pose.position.y,-11.24561010429546
228.932,1739217597.699000000,/waffle/pose.pose.position.y,-11.53977389880461
231.825,1739217600.592000000,/waffle/pose.pose.position.y,-11.87952357573473
234.785,1739217603.552000000,/waffle/pose.pose.position.y,-12.16615197464704
237.771,1739217606.538000000,/waffle/pose.pose.position.y,-12.458258661544907
240.707,1739217609.474000000,/waffle/pose.pose.position.y,-12.76697406662442
243.698,1739217612.465000000,/waffle/pose.pose.position.y,-13.095935571192538
246.686,1739217615.453000000,/waffle/pose.pose.position.y,-13.431252013269306
249.818,1739217618.585000000,/waffle/pose.pose.position.y,-13.745828465064234
252.787,1739217621.554000000,/waffle/pose.pose.position.y,-14.040357414222429
255.947,1739217624.714000000,/waffle/pose.pose.position.y,-14.31536480804411
