elapsed time,timestamp,topic,value
25.896,1739217394.663000000,/pose.pose.pose.position.x,4.060001908060817
36.27,1739217405.037000000,/pose.pose.pose.position.x,4.041963868503426
38.267,1739217407.034000000,/pose.pose.pose.position.x,4.0924324328987325
43.546,1739217412.313000000,/pose.pose.pose.position.x,4.110373278775509
46.645,1739217415.412000000,/pose.pose.pose.position.x,4.0564835765542435
50.376,1739217419.143000000,/pose.pose.pose.position.x,4.072552299062315
55.705,1739217424.472000000,/pose.pose.pose.position.x,4.090795754359849
57.206,1739217425.973000000,/pose.pose.pose.position.x,4.07300936011496
60.594,1739217429.361000000,/pose.pose.pose.position.x,4.083496290312876
62.704,1739217431.471000000,/pose.pose.pose.position.x,4.083717952669821
71.299,1739217440.066000000,/pose.pose.pose.position.x,3.9435853537273844
73.627,1739217442.394000000,/pose.pose.pose.position.x,3.9177651216532436
75.814,1739217444.581000000,/pose.pose.pose.position.x,3.9133278621013257
123.497,1739217492.264000000,/pose.pose.pose.position.x,4.257458215230616
126.989,1739217495.756000000,/pose.pose.pose.position.x,4.718331018946869
130.353,1739217499.120000000,/pose.pose.pose.position.x,4.956602780680376
133.179,1739217501.946000000,/pose.pose.pose.position.x,5.176675855273294
136.675,1739217505.442000000,/pose.pose.pose.position.x,5.671218514064015
140.16,1739217508.927000000,/pose.pose.pose.position.x,6.003173746823807
143.562,1739217512.329000000,/pose.pose.pose.position.x,6.385712861098986
147.277,1739217516.044000000,/pose.pose.pose.position.x,6.907342567784458
150.732,1739217519.499000000,/pose.pose.pose.position.x,7.235270508964473
154.063,1739217522.830000000,/pose.pose.pose.position.x,7.58993814218404
157.03,1739217525.797000000,/pose.pose.pose.position.x,7.901571578495503
178.028,1739217546.795000000,/pose.pose.pose.position.x,8.046021557423902
183.386,1739217552.153000000,/pose.pose.pose.position.x,8.111649337713311
186.865,1739217555.632000000,/pose.pose.pose.position.x,8.342972617896763
190.584,1739217559.351000000,/pose.pose.pose.position.x,8.572231872569521
194.323,1739217563.090000000,/pose.pose.pose.position.x,8.823162634960937
197.903,1739217566.670000000,/pose.pose.pose.position.x,9.06910986627097
201.517,1739217570.284000000,/pose.pose.pose.position.x,9.308238602265364
205.184,1739217573.951000000,/pose.pose.pose.position.x,9.526213497743408
208.88,1739217577.647000000,/pose.pose.pose.position.x,9.658864952390244
212.29,1739217581.057000000,/pose.pose.pose.position.x,9.685838485731288
220.26,1739217589.027000000,/pose.pose.pose.position.x,9.809881258064713
221.535,1739217590.302000000,/pose.pose.pose.position.x,9.725320915527742
226.533,1739217595.300000000,/pose.pose.pose.position.x,9.181947316561248
230.246,1739217599.013000000,/pose.pose.pose.position.x,8.84137779550532
233.705,1739217602.472000000,/pose.pose.pose.position.x,8.370001406242563
237.325,1739217606.092000000,/pose.pose.pose.position.x,7.8840806598007385
240.944,1739217609.711000000,/pose.pose.pose.position.x,7.420924566725292
244.523,1739217613.290000000,/pose.pose.pose.position.x,6.966207157445766
248.011,1739217616.778000000,/pose.pose.pose.position.x,6.529041542545669
251.68,1739217620.447000000,/pose.pose.pose.position.x,6.067589425632876
256.146,1739217624.913000000,/pose.pose.pose.position.x,5.719850961974121
27.178,1739217395.945000000,/waffle/pose.pose.position.x,4.060604685781501
29.752,1739217398.519000000,/waffle/pose.pose.position.x,4.060089754169734
32.336,1739217401.103000000,/waffle/pose.pose.position.x,4.0600293782888635
35.517,1739217404.284000000,/waffle/pose.pose.position.x,4.03944741620678
38.66,1739217407.427000000,/waffle/pose.pose.position.x,4.112106035462324
41.653,1739217410.420000000,/waffle/pose.pose.position.x,4.133463571361809
44.702,1739217413.469000000,/waffle/pose.pose.position.x,4.088926214740035
47.793,1739217416.560000000,/waffle/pose.pose.position.x,4.0712155968817205
50.883,1739217419.650000000,/waffle/pose.pose.position.x,4.096775311317868
53.871,1739217422.638000000,/waffle/pose.pose.position.x,4.103662053145672
56.626,1739217425.393000000,/waffle/pose.pose.position.x,4.096179518887825
59.341,1739217428.108000000,/waffle/pose.pose.position.x,4.093978792180581
62.182,1739217430.949000000,/waffle/pose.pose.position.x,4.095001527101625
64.971,1739217433.738000000,/waffle/pose.pose.position.x,4.088223432589178
68.08,1739217436.847000000,/waffle/pose.pose.position.x,4.03423354808598
71.099,1739217439.866000000,/waffle/pose.pose.position.x,3.956071815746823
74.1,1739217442.867000000,/waffle/pose.pose.position.x,3.925943515788059
76.733,1739217445.500000000,/waffle/pose.pose.position.x,3.9231832026756996
79.448,1739217448.215000000,/waffle/pose.pose.position.x,3.922133038464093
82.157,1739217450.924000000,/waffle/pose.pose.position.x,3.9206101646845912
84.844,1739217453.611000000,/waffle/pose.pose.position.x,3.8980475527052465
87.712,1739217456.479000000,/waffle/pose.pose.position.x,3.8647334441751418
90.322,1739217459.089000000,/waffle/pose.pose.position.x,3.840471458693112
93.061,1739217461.828000000,/waffle/pose.pose.position.x,3.8000636428503904
95.787,1739217464.554000000,/waffle/pose.pose.position.x,3.7833706079931524
98.431,1739217467.198000000,/waffle/pose.pose.position.x,3.7793174215788707
100.97,1739217469.737000000,/waffle/pose.pose.position.x,3.7773868732024662
103.643,1739217472.410000000,/waffle/pose.pose.position.x,3.7709509494162528
106.28,1739217475.047000000,/waffle/pose.pose.position.x,3.769253072733331
108.933,1739217477.700000000,/waffle/pose.pose.position.x,3.7660203032760537
111.466,1739217480.233000000,/waffle/pose.pose.position.x,3.763941753645105
114.059,1739217482.826000000,/waffle/pose.pose.position.x,3.75927574163526
116.922,1739217485.689000000,/waffle/pose.pose.position.x,3.8196705632549603
119.776,1739217488.543000000,/waffle/pose.pose.position.x,3.9509593839095722
122.707,1739217491.474000000,/waffle/pose.pose.position.x,4.199934486715869
125.691,1739217494.458000000,/waffle/pose.pose.position.x,4.596181826103861
128.484,1739217497.251000000,/waffle/pose.pose.position.x,4.8744595131016375
131.369,1739217500.136000000,/waffle/pose.pose.position.x,5.046658412414517
134.22,1739217502.987000000,/waffle/pose.pose.position.x,5.349320083164059
137.129,1739217505.896000000,/waffle/pose.pose.position.x,5.763341542421722
139.955,1739217508.722000000,/waffle/pose.pose.position.x,6.0311888939173475
142.876,1739217511.643000000,/waffle/pose.pose.position.x,6.32803616656608
145.965,1739217514.732000000,/waffle/pose.pose.position.x,6.767125828509595
148.77,1739217517.537000000,/waffle/pose.pose.position.x,7.1084631080134155
151.743,1739217520.510000000,/waffle/pose.pose.position.x,7.36898151957571
154.521,1739217523.288000000,/waffle/pose.pose.position.x,7.675104421049359
157.469,1739217526.236000000,/waffle/pose.pose.position.x,7.986941840982876
160.296,1739217529.063000000,/waffle/pose.pose.position.x,8.09278966780122
162.798,1739217531.565000000,/waffle/pose.pose.position.x,8.12374103983728
165.456,1739217534.223000000,/waffle/pose.pose.position.x,8.130270962967913
168.012,1739217536.779000000,/waffle/pose.pose.position.x,8.116148669563845
170.524,1739217539.291000000,/waffle/pose.pose.position.x,8.102076814960881
173.012,1739217541.779000000,/waffle/pose.pose.position.x,8.085703480709478
175.461,1739217544.228000000,/waffle/pose.pose.position.x,8.074005064805228
177.888,1739217546.655000000,/waffle/pose.pose.position.x,8.073223707258782
180.46,1739217549.227000000,/waffle/pose.pose.position.x,8.073137767315462
183.224,1739217551.991000000,/waffle/pose.pose.position.x,8.138048338193354
186.261,1739217555.028000000,/waffle/pose.pose.position.x,8.328305707435058
189.019,1739217557.786000000,/waffle/pose.pose.position.x,8.530913040596328
192.4,1739217561.167000000,/waffle/pose.pose.position.x,8.732579011084361
195.506,1739217564.273000000,/waffle/pose.pose.position.x,8.935932976213781
198.465,1739217567.232000000,/waffle/pose.pose.position.x,9.143231459459217
201.384,1739217570.151000000,/waffle/pose.pose.position.x,9.342442099857449
204.322,1739217573.089000000,/waffle/pose.pose.position.x,9.530452869308963
207.526,1739217576.293000000,/waffle/pose.pose.position.x,9.667758264467649
210.469,1739217579.236000000,/waffle/pose.pose.position.x,9.704957563057954
213.39,1739217582.157000000,/waffle/pose.pose.position.x,9.761722104780949
216.571,1739217585.338000000,/waffle/pose.pose.position.x,9.868663084699124
219.562,1739217588.329000000,/waffle/pose.pose.position.x,9.869987400273425
222.794,1739217591.561000000,/waffle/pose.pose.position.x,9.646044246277594
225.903,1739217594.670000000,/waffle/pose.pose.position.x,9.304740458040264
228.932,1739217597.699000000,/waffle/pose.pose.position.x,9.030805798661651
231.825,1739217600.592000000,/waffle/pose.pose.position.x,8.67927939424563
234.785,1739217603.552000000,/waffle/pose.pose.position.x,8.272934616944829
237.771,1739217606.538000000,/waffle/pose.pose.position.x,7.869212293758432
240.707,1739217609.474000000,/waffle/pose.pose.position.x,7.478144792182397
243.698,1739217612.465000000,/waffle/pose.pose.position.x,7.101942653337089
246.686,1739217615.453000000,/waffle/pose.pose.position.x,6.735605258048574
249.818,1739217618.585000000,/waffle/pose.pose.position.x,6.353610705381525
252.787,1739217621.554000000,/waffle/pose.pose.position.x,6.003806494628682
255.947,1739217624.714000000,/waffle/pose.pose.position.x,5.779009953043606
258.991,1739217627.758000000,/waffle/pose.pose.position.x,5.743462230149886
261.6,1739217630.367000000,/waffle/pose.pose.position.x,5.744038966138668
264.217,1739217632.984000000,/waffle/pose.pose.position.x,5.744057545190905
266.986,1739217635.753000000,/waffle/pose.pose.position.x,5.743913364269469
269.597,1739217638.364000000,/waffle/pose.pose.position.x,5.749328185563185
