elapsed time,timestamp,topic,value
17.857,1739218112.368000000,/pose.pose.pose.position.y,2.9727597280331596e-7
34.265,1739218128.776000000,/pose.pose.pose.position.y,-0.036098378045915945
36.103,1739218130.614000000,/pose.pose.pose.position.y,-0.08793949661130245
39.553,1739218134.064000000,/pose.pose.pose.position.y,-0.3912847003040949
43.608,1739218138.119000000,/pose.pose.pose.position.y,-0.9224847010381094
46.943,1739218141.454000000,/pose.pose.pose.position.y,-1.4130759404740147
50.205,1739218144.716000000,/pose.pose.pose.position.y,-1.8919890729549025
53.56,1739218148.071000000,/pose.pose.pose.position.y,-2.4122521232267333
57.207,1739218151.718000000,/pose.pose.pose.position.y,-2.8832751593374306
61.548,1739218156.059000000,/pose.pose.pose.position.y,-3.5140072733184096
65.057,1739218159.568000000,/pose.pose.pose.position.y,-3.9865945623079737
68.656,1739218163.167000000,/pose.pose.pose.position.y,-4.498665034332749
72.111,1739218166.622000000,/pose.pose.pose.position.y,-4.999098470036378
76.261,1739218170.772000000,/pose.pose.pose.position.y,-5.608864279396898
80.437,1739218174.948000000,/pose.pose.pose.position.y,-6.20925237832452
84.825,1739218179.336000000,/pose.pose.pose.position.y,-6.798527857030898
88.538,1739218183.049000000,/pose.pose.pose.position.y,-7.308807113645348
92.638,1739218187.149000000,/pose.pose.pose.position.y,-7.90764962675301
96.72,1739218191.231000000,/pose.pose.pose.position.y,-8.50308877012858
100.793,1739218195.304000000,/pose.pose.pose.position.y,-9.065218336425747
104.125,1739218198.636000000,/pose.pose.pose.position.y,-9.569033548006752
108.187,1739218202.698000000,/pose.pose.pose.position.y,-10.1508185136362
111.907,1739218206.418000000,/pose.pose.pose.position.y,-10.725618714819898
116.116,1739218210.627000000,/pose.pose.pose.position.y,-11.27224692515982
120.151,1739218214.662000000,/pose.pose.pose.position.y,-11.824220568077086
124.343,1739218218.854000000,/pose.pose.pose.position.y,-12.34436579164231
128.746,1739218223.257000000,/pose.pose.pose.position.y,-12.83398922401449
132.66,1739218227.171000000,/pose.pose.pose.position.y,-13.2846663854741
137.411,1739218231.922000000,/pose.pose.pose.position.y,-13.638894913263389
142.914,1739218237.425000000,/pose.pose.pose.position.y,-14.034053484899399
147.159,1739218241.670000000,/pose.pose.pose.position.y,-14.428104949332045
151.271,1739218245.782000000,/pose.pose.pose.position.y,-14.772035610379467
155.704,1739218250.215000000,/pose.pose.pose.position.y,-15.126003043450746
159.846,1739218254.357000000,/pose.pose.pose.position.y,-15.563231344376511
164.506,1739218259.017000000,/pose.pose.pose.position.y,-15.950644909918193
169.601,1739218264.112000000,/pose.pose.pose.position.y,-16.303856801994918
174.143,1739218268.654000000,/pose.pose.pose.position.y,-16.67992620929632
181.41,1739218275.921000000,/pose.pose.pose.position.y,-17.037874036108867
192.656,1739218287.167000000,/pose.pose.pose.position.y,-17.389233314440247
207.759,1739218302.270000000,/pose.pose.pose.position.y,-17.74977600194882
222.584,1739218317.095000000,/pose.pose.pose.position.y,-18.11161214484739
230.897,1739218325.408000000,/pose.pose.pose.position.y,-18.282023102776844
232.017,1739218326.528000000,/pose.pose.pose.position.y,-18.291755244578773
233.16,1739218327.671000000,/pose.pose.pose.position.y,-18.30451859468521
235.389,1739218329.900000000,/pose.pose.pose.position.y,-18.385810744070305
238.121,1739218332.632000000,/pose.pose.pose.position.y,-18.45804822624856
240.83,1739218335.341000000,/pose.pose.pose.position.y,-18.43728102161567
242.947,1739218337.458000000,/pose.pose.pose.position.y,-18.511424422984454
244.88,1739218339.391000000,/pose.pose.pose.position.y,-18.71414051389217
19.282,1739218113.793000000,/waffle/pose.pose.position.y,-0.000011813489066650474
21.997,1739218116.508000000,/waffle/pose.pose.position.y,-0.0000030638392501725856
24.395,1739218118.906000000,/waffle/pose.pose.position.y,-0.000005895924625761309
27.232,1739218121.743000000,/waffle/pose.pose.position.y,-0.00000627961294011905
29.798000000000002,1739218124.309000000,/waffle/pose.pose.position.y,-0.000007477980431425794
32.782,1739218127.293000000,/waffle/pose.pose.position.y,0.0009096448131143828
36.053,1739218130.564000000,/waffle/pose.pose.position.y,-0.057841878142900885
39.487,1739218133.998000000,/waffle/pose.pose.position.y,-0.3408395244123117
42.807,1739218137.318000000,/waffle/pose.pose.position.y,-0.7734151890849338
46.155,1739218140.666000000,/waffle/pose.pose.position.y,-1.2716419523556501
49.394,1739218143.905000000,/waffle/pose.pose.position.y,-1.770334589321765
52.648,1739218147.159000000,/waffle/pose.pose.position.y,-2.269954583790987
56.2,1739218150.711000000,/waffle/pose.pose.position.y,-2.7707738937256137
59.979,1739218154.490000000,/waffle/pose.pose.position.y,-3.265238887218915
63.485,1739218157.996000000,/waffle/pose.pose.position.y,-3.7556377713868683
66.999,1739218161.510000000,/waffle/pose.pose.position.y,-4.256787072275072
70.461,1739218164.972000000,/waffle/pose.pose.position.y,-4.756642985246634
74.008,1739218168.519000000,/waffle/pose.pose.position.y,-5.256560469855102
77.588,1739218172.099000000,/waffle/pose.pose.position.y,-5.756334109651421
80.963,1739218175.474000000,/waffle/pose.pose.position.y,-6.256110318905911
84.683,1739218179.194000000,/waffle/pose.pose.position.y,-6.756066926337239
88.415,1739218182.926000000,/waffle/pose.pose.position.y,-7.255932944055393
91.835,1739218186.346000000,/waffle/pose.pose.position.y,-7.755278125125199
95.336,1739218189.847000000,/waffle/pose.pose.position.y,-8.254044288207728
98.732,1739218193.243000000,/waffle/pose.pose.position.y,-8.737581614698648
102.002,1739218196.513000000,/waffle/pose.pose.position.y,-9.216792816944679
105.362,1739218199.873000000,/waffle/pose.pose.position.y,-9.714303520383998
108.667,1739218203.178000000,/waffle/pose.pose.position.y,-10.195364544170516
111.817,1739218206.328000000,/waffle/pose.pose.position.y,-10.670375625157396
115.312,1739218209.823000000,/waffle/pose.pose.position.y,-11.135747196163829
118.598,1739218213.109000000,/waffle/pose.pose.position.y,-11.593753743631085
122.22,1739218216.731000000,/waffle/pose.pose.position.y,-12.037374669063805
125.676,1739218220.187000000,/waffle/pose.pose.position.y,-12.463884576148464
129.207,1739218223.718000000,/waffle/pose.pose.position.y,-12.86280549996166
132.564,1739218227.075000000,/waffle/pose.pose.position.y,-13.232211038238153
136.029,1739218230.540000000,/waffle/pose.pose.position.y,-13.512430597716815
139.377,1739218233.888000000,/waffle/pose.pose.position.y,-13.732161301311473
142.812,1739218237.323000000,/waffle/pose.pose.position.y,-13.989331366010905
146.34,1739218240.851000000,/waffle/pose.pose.position.y,-14.31869141162687
149.772,1739218244.283000000,/waffle/pose.pose.position.y,-14.630055453050291
153.477,1739218247.988000000,/waffle/pose.pose.position.y,-14.897378631747147
157.101,1739218251.612000000,/waffle/pose.pose.position.y,-15.224552302882081
160.574,1739218255.085000000,/waffle/pose.pose.position.y,-15.59211469587545
163.534,1739218258.045000000,/waffle/pose.pose.position.y,-15.869417177100852
166.878,1739218261.389000000,/waffle/pose.pose.position.y,-16.07803010796192
170.114,1739218264.625000000,/waffle/pose.pose.position.y,-16.32966504650463
173.326,1739218267.837000000,/waffle/pose.pose.position.y,-16.603482214287443
176.741,1739218271.252000000,/waffle/pose.pose.position.y,-16.810338694688358
179.926,1739218274.437000000,/waffle/pose.pose.position.y,-16.952287510160843
183.222,1739218277.733000000,/waffle/pose.pose.position.y,-17.07820621863662
186.495,1739218281.006000000,/waffle/pose.pose.position.y,-17.210036074797763
189.865,1739218284.376000000,/waffle/pose.pose.position.y,-17.30673829180841
193.176,1739218287.687000000,/waffle/pose.pose.position.y,-17.381516564711646
196.507,1739218291.018000000,/waffle/pose.pose.position.y,-17.461067329437302
199.645,1739218294.156000000,/waffle/pose.pose.position.y,-17.543249371552758
202.964,1739218297.475000000,/waffle/pose.pose.position.y,-17.615209319459417
206.279,1739218300.790000000,/waffle/pose.pose.position.y,-17.695899178366115
209.522,1739218304.033000000,/waffle/pose.pose.position.y,-17.775368495127598
212.72,1739218307.231000000,/waffle/pose.pose.position.y,-17.83739761614239
216.2,1739218310.711000000,/waffle/pose.pose.position.y,-17.879736909141545
219.76,1739218314.271000000,/waffle/pose.pose.position.y,-17.997465736064424
223.073,1739218317.584000000,/waffle/pose.pose.position.y,-18.119545357569805
226.334,1739218320.845000000,/waffle/pose.pose.position.y,-18.21550312661705
229.239,1739218323.750000000,/waffle/pose.pose.position.y,-18.274202812324628
231.791,1739218326.302000000,/waffle/pose.pose.position.y,-18.28089676742643
235.199,1739218329.710000000,/waffle/pose.pose.position.y,-18.372729735183
238.577,1739218333.088000000,/waffle/pose.pose.position.y,-18.44091608156882
242.065,1739218336.576000000,/waffle/pose.pose.position.y,-18.457712743310836
245.372,1739218339.883000000,/waffle/pose.pose.position.y,-18.751472980073572
248.935,1739218343.446000000,/waffle/pose.pose.position.y,-19.028939218083508
