elapsed time,timestamp,topic,value
17.746,1739217692.446000000,/pose.pose.pose.position.x,4.062864245539126
19.755,1739217694.455000000,/pose.pose.pose.position.x,4.13614453916065
24.172,1739217698.872000000,/pose.pose.pose.position.x,4.293974680974555
28.623,1739217703.323000000,/pose.pose.pose.position.x,4.413803885345363
29.651,1739217704.351000000,/pose.pose.pose.position.x,4.41448164832554
30.902,1739217705.602000000,/pose.pose.pose.position.x,4.408043318215129
32.702,1739217707.402000000,/pose.pose.pose.position.x,4.407140828778381
35.94,1739217710.640000000,/pose.pose.pose.position.x,4.417855022381005
37.696,1739217712.396000000,/pose.pose.pose.position.x,4.416175442164035
40.283,1739217714.983000000,/pose.pose.pose.position.x,4.473431957061175
42.299,1739217716.999000000,/pose.pose.pose.position.x,4.594138916867136
44.812,1739217719.512000000,/pose.pose.pose.position.x,4.741472116633846
48.612,1739217723.312000000,/pose.pose.pose.position.x,5.028207822082316
52.061,1739217726.761000000,/pose.pose.pose.position.x,5.293840715368999
56.109,1739217730.809000000,/pose.pose.pose.position.x,5.615703941219603
60.449,1739217735.149000000,/pose.pose.pose.position.x,5.923833795033731
63.952,1739217738.652000000,/pose.pose.pose.position.x,6.187289072604835
67.151,1739217741.851000000,/pose.pose.pose.position.x,6.450076757012602
71.102,1739217745.802000000,/pose.pose.pose.position.x,6.7881099346998095
74.887,1739217749.587000000,/pose.pose.pose.position.x,7.0626835632746445
78.924,1739217753.624000000,/pose.pose.pose.position.x,7.4042728078073035
83.12,1739217757.820000000,/pose.pose.pose.position.x,7.76274042755626
87.332,1739217762.032000000,/pose.pose.pose.position.x,8.147568719898928
91.293,1739217765.993000000,/pose.pose.pose.position.x,8.53081133895409
97.907,1739217772.607000000,/pose.pose.pose.position.x,8.864649425904833
102.244,1739217776.944000000,/pose.pose.pose.position.x,8.960086523214745
106.093,1739217780.793000000,/pose.pose.pose.position.x,9.012599149745988
110.331,1739217785.031000000,/pose.pose.pose.position.x,8.983828253760535
114.196,1739217788.896000000,/pose.pose.pose.position.x,8.921481171642425
118.289,1739217792.989000000,/pose.pose.pose.position.x,8.884422995149782
122.551,1739217797.251000000,/pose.pose.pose.position.x,8.926309209576656
126.73,1739217801.430000000,/pose.pose.pose.position.x,8.92556675872724
130.994,1739217805.694000000,/pose.pose.pose.position.x,8.94213767891957
134.609,1739217809.309000000,/pose.pose.pose.position.x,9.024820970894394
138.321,1739217813.021000000,/pose.pose.pose.position.x,9.20158895140264
141.93,1739217816.630000000,/pose.pose.pose.position.x,9.439952527889751
145.403,1739217820.103000000,/pose.pose.pose.position.x,9.728521961437147
150.447,1739217825.147000000,/pose.pose.pose.position.x,9.760173950548516
152.441,1739217827.141000000,/pose.pose.pose.position.x,9.746339757038218
154.345,1739217829.045000000,/pose.pose.pose.position.x,9.62245162482964
162.779,1739217837.479000000,/pose.pose.pose.position.x,9.134865906429946
166.83,1739217841.530000000,/pose.pose.pose.position.x,8.729375401110632
170.596,1739217845.296000000,/pose.pose.pose.position.x,8.31926779099258
174.409,1739217849.109000000,/pose.pose.pose.position.x,7.9119230182428355
178.086,1739217852.786000000,/pose.pose.pose.position.x,7.5247371318580445
181.95,1739217856.650000000,/pose.pose.pose.position.x,7.128317764774497
186.609,1739217861.309000000,/pose.pose.pose.position.x,6.740460331041892
211.932,1739217886.632000000,/pose.pose.pose.position.x,6.453548254508509
215.78,1739217890.480000000,/pose.pose.pose.position.x,6.346858275171646
219.602,1739217894.302000000,/pose.pose.pose.position.x,6.196255006138339
223.259,1739217897.959000000,/pose.pose.pose.position.x,6.093998087570493
226.89,1739217901.590000000,/pose.pose.pose.position.x,5.950962333233391
231.024,1739217905.724000000,/pose.pose.pose.position.x,5.736509752825167
233.977,1739217908.677000000,/pose.pose.pose.position.x,5.645505544988403
237.182,1739217911.882000000,/pose.pose.pose.position.x,5.6143555215883545
240.475,1739217915.175000000,/pose.pose.pose.position.x,5.564487593724864
244.288,1739217918.988000000,/pose.pose.pose.position.x,5.544785631693955
248.107,1739217922.807000000,/pose.pose.pose.position.x,5.553580389054421
251.999,1739217926.699000000,/pose.pose.pose.position.x,5.544654862694822
255.867,1739217930.567000000,/pose.pose.pose.position.x,5.527129471313556
259.715,1739217934.415000000,/pose.pose.pose.position.x,5.421224477302974
264.115,1739217938.815000000,/pose.pose.pose.position.x,5.3061003451703685
268.03,1739217942.730000000,/pose.pose.pose.position.x,5.177498996327802
271.732,1739217946.432000000,/pose.pose.pose.position.x,5.009767564784939
5.597,1739217680.297000000,/waffle/pose.pose.position.x,4.060091054759203
7.977,1739217682.677000000,/waffle/pose.pose.position.x,4.060028742827527
10.741,1739217685.441000000,/waffle/pose.pose.position.x,4.06008983814375
13.471,1739217688.171000000,/waffle/pose.pose.position.x,4.0601388353560806
16.345,1739217691.045000000,/waffle/pose.pose.position.x,4.0375420975579255
19.563,1739217694.263000000,/waffle/pose.pose.position.x,4.136192458880739
22.88,1739217697.580000000,/waffle/pose.pose.position.x,4.218485312034064
25.763,1739217700.463000000,/waffle/pose.pose.position.x,4.39811438496655
28.498,1739217703.198000000,/waffle/pose.pose.position.x,4.416716545726263
31.304,1739217706.004000000,/waffle/pose.pose.position.x,4.407022708700763
34.471,1739217709.171000000,/waffle/pose.pose.position.x,4.423365755949236
37.648,1739217712.348000000,/waffle/pose.pose.position.x,4.419651768618671
40.812,1739217715.512000000,/waffle/pose.pose.position.x,4.505029951947209
43.981,1739217718.681000000,/waffle/pose.pose.position.x,4.714652101700524
47.261,1739217721.961000000,/waffle/pose.pose.position.x,4.915501218942145
50.621,1739217725.321000000,/waffle/pose.pose.position.x,5.1966520084324594
53.903,1739217728.603000000,/waffle/pose.pose.position.x,5.459122735858939
57.435,1739217732.135000000,/waffle/pose.pose.position.x,5.726024397650411
61.081,1739217735.781000000,/waffle/pose.pose.position.x,5.987620726956989
64.459,1739217739.159000000,/waffle/pose.pose.position.x,6.252230124739059
67.687,1739217742.387000000,/waffle/pose.pose.position.x,6.5186328070751465
71.102,1739217745.802000000,/waffle/pose.pose.position.x,6.803657685798063
74.709,1739217749.409000000,/waffle/pose.pose.position.x,7.079408601145212
78.161,1739217752.861000000,/waffle/pose.pose.position.x,7.364570065553028
81.69,1739217756.390000000,/waffle/pose.pose.position.x,7.659527070709586
85.159,1739217759.859000000,/waffle/pose.pose.position.x,7.968793359118869
88.557,1739217763.257000000,/waffle/pose.pose.position.x,8.29040230170372
91.753,1739217766.453000000,/waffle/pose.pose.position.x,8.615687507853558
95.103,1739217769.803000000,/waffle/pose.pose.position.x,8.813023727730284
98.465,1739217773.165000000,/waffle/pose.pose.position.x,8.91448082867324
